precinct,ward,nvotes,bowser,twhite,rwhite,bowser_percent,twhite_percent,rwhite_percent,bowser_margin,twhite_margin,rwhite_margin,bowser_marginpct,twhite_marginpct,rwhite_marginpct
1,6,1364,608,167,589,0.44574780058651026,0.12243401759530792,0.4318181818181818,-148,-1030,-186,-0.10850439882697947,-0.7551319648093842,-0.13636363636363635
2,2,90,34,2,54,0.37777777777777777,0.022222222222222223,0.6,-22,-86,18,-0.24444444444444444,-0.9555555555555556,0.2
3,2,571,380,17,174,0.6654991243432574,0.0297723292469352,0.30472854640980734,189,-537,-223,0.3309982486865149,-0.9404553415061296,-0.3905429071803853
4,2,714,467,14,233,0.65406162464986,0.0196078431372549,0.32633053221288516,220,-686,-248,0.3081232492997199,-0.9607843137254902,-0.3473389355742297
5,2,721,552,8,161,0.7656033287101248,0.011095700416088766,0.22330097087378642,383,-705,-399,0.5312066574202496,-0.9778085991678225,-0.5533980582524272
6,2,669,502,10,157,0.750373692077728,0.014947683109118086,0.23467862481315396,335,-649,-355,0.5007473841554559,-0.9701046337817638,-0.5306427503736921
7,3,570,366,9,195,0.6421052631578947,0.015789473684210527,0.34210526315789475,162,-552,-180,0.28421052631578947,-0.968421052631579,-0.3157894736842105
8,3,1312,967,13,332,0.7370426829268293,0.009908536585365854,0.2530487804878049,622,-1286,-648,0.4740853658536585,-0.9801829268292683,-0.49390243902439024
9,3,503,414,3,86,0.8230616302186878,0.005964214711729622,0.1709741550695825,325,-497,-331,0.6461232604373758,-0.9880715705765407,-0.658051689860835
10,3,816,620,8,188,0.7598039215686274,0.00980392156862745,0.23039215686274508,424,-800,-440,0.5196078431372549,-0.9803921568627451,-0.5392156862745098
11,3,1292,688,19,585,0.5325077399380805,0.014705882352941176,0.45278637770897834,84,-1254,-122,0.06501547987616099,-0.9705882352941176,-0.09442724458204334
12,3,238,179,4,55,0.7521008403361344,0.01680672268907563,0.23109243697478993,120,-230,-128,0.5042016806722689,-0.9663865546218487,-0.5378151260504201
13,2,549,361,5,183,0.6575591985428051,0.009107468123861567,0.3333333333333333,173,-539,-183,0.3151183970856102,-0.9817850637522769,-0.3333333333333333
14,2,945,488,16,441,0.5164021164021164,0.016931216931216932,0.4666666666666667,31,-913,-63,0.0328042328042328,-0.9661375661375662,-0.06666666666666667
15,2,1185,579,17,589,0.48860759493670886,0.014345991561181435,0.4970464135021097,-27,-1151,-7,-0.02278481012658228,-0.9713080168776371,-0.00590717299578059
16,2,1324,734,34,556,0.554380664652568,0.0256797583081571,0.4199395770392749,144,-1256,-212,0.10876132930513595,-0.9486404833836858,-0.16012084592145015
17,2,1397,663,43,691,0.47458840372226196,0.030780243378668574,0.49463135289906945,-71,-1311,-15,-0.05082319255547602,-0.9384395132426628,-0.010737294201861132
18,6,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
19,5,1426,621,105,700,0.43548387096774194,0.07363253856942496,0.4908835904628331,-184,-1216,-26,-0.12903225806451613,-0.85273492286115,-0.0182328190743338
20,1,276,120,21,135,0.43478260869565216,0.07608695652173914,0.4891304347826087,-36,-234,-6,-0.13043478260869565,-0.8478260869565217,-0.021739130434782608
21,6,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
22,1,1594,788,40,766,0.49435382685069007,0.025094102885821833,0.48055207026348806,-18,-1514,-62,-0.011292346298619825,-0.9498117942283564,-0.03889585947302384
23,1,1045,455,49,541,0.4354066985645933,0.04688995215311005,0.5177033492822967,-135,-947,37,-0.1291866028708134,-0.9062200956937799,0.0354066985645933
24,1,1144,541,9,594,0.4729020979020979,0.007867132867132868,0.5192307692307693,-62,-1126,44,-0.05419580419580419,-0.9842657342657343,0.038461538461538464
25,1,1797,883,19,895,0.49137451307735114,0.010573177518085699,0.4980523094045632,-31,-1759,-7,-0.01725097384529772,-0.9788536449638287,-0.0038953811908736783
26,3,1456,820,13,623,0.5631868131868132,0.008928571428571428,0.42788461538461536,184,-1430,-210,0.12637362637362637,-0.9821428571428571,-0.14423076923076922
27,3,1301,838,18,445,0.644119907763259,0.013835511145272867,0.3420445810914681,375,-1265,-411,0.28823981552651806,-0.9723289777094543,-0.3159108378170638
28,3,1186,813,16,357,0.6854974704890388,0.013490725126475547,0.30101180438448566,440,-1154,-472,0.37099494097807756,-0.9730185497470489,-0.3979763912310287
29,3,596,382,12,202,0.6409395973154363,0.020134228187919462,0.3389261744966443,168,-572,-192,0.28187919463087246,-0.959731543624161,-0.3221476510067114
30,3,759,514,7,238,0.6772068511198946,0.00922266139657444,0.31357048748353095,269,-745,-283,0.3544137022397892,-0.9815546772068511,-0.37285902503293805
31,3,1415,938,15,462,0.6628975265017668,0.01060070671378092,0.3265017667844523,461,-1385,-491,0.32579505300353356,-0.9787985865724381,-0.3469964664310954
32,3,1506,979,19,508,0.650066401062417,0.012616201859229747,0.33731739707835323,452,-1468,-490,0.300132802124834,-0.9747675962815405,-0.3253652058432935
33,3,1562,963,16,583,0.6165172855313701,0.010243277848911651,0.3732394366197183,364,-1530,-396,0.2330345710627401,-0.9795134443021767,-0.2535211267605634
34,3,1992,1041,42,909,0.5225903614457831,0.02108433734939759,0.4563253012048193,90,-1908,-174,0.045180722891566265,-0.95783132530120485,-0.08734939759036145
35,1,1457,606,30,821,0.41592312971859985,0.02059025394646534,0.5634866163349348,-245,-1397,185,-0.16815374056280027,-0.9588194921070693,0.1269732326698696
36,1,1341,508,102,731,0.3788217747949292,0.07606263982102908,0.5451155853840418,-325,-1137,121,-0.24235645041014167,-0.8478747203579419,0.09023117076808351
37,1,1054,448,55,551,0.4250474383301708,0.05218216318785579,0.5227703984819735,-158,-944,48,-0.14990512333965844,-0.8956356736242884,0.04554079696394687
38,1,974,352,54,568,0.3613963039014374,0.055441478439425054,0.5831622176591376,-270,-866,162,-0.27720739219712526,-0.8891170431211499,0.16632443531827515
39,1,1578,696,52,830,0.44106463878326996,0.032953105196451206,0.5259822560202788,-186,-1474,82,-0.11787072243346007,-0.9340937896070975,0.051964512040557666
40,1,1500,661,44,795,0.44066666666666665,0.029333333333333333,0.53,-178,-1412,90,-0.11866666666666667,-0.9413333333333334,0.06
41,1,1078,434,48,596,0.4025974025974026,0.04452690166975881,0.5528756957328386,-210,-982,114,-0.19480519480519481,-0.9109461966604824,0.10575139146567718
42,1,691,284,22,385,0.4109985528219971,0.03183791606367583,0.557163531114327,-123,-647,79,-0.17800289435600578,-0.9363241678726484,0.11432706222865413
43,1,616,248,50,318,0.4025974025974026,0.08116883116883117,0.5162337662337663,-120,-516,20,-0.19480519480519481,-0.8376623376623377,0.032467532467532464
44,5,761,371,104,286,0.48751642575558474,0.1366622864651774,0.37582128777923784,-19,-553,-189,-0.024967148488830485,-0.7266754270696452,-0.2483574244415243
45,4,850,362,56,432,0.4258823529411765,0.06588235294117648,0.508235294117647,-126,-738,14,-0.14823529411764705,-0.8682352941176471,0.01647058823529412
46,4,1107,467,65,575,0.4218608852755194,0.05871725383920506,0.5194218608852755,-173,-977,43,-0.15627822944896116,-0.8825654923215899,0.03884372177055104
47,4,1287,533,45,709,0.41414141414141414,0.03496503496503497,0.5508935508935509,-221,-1197,131,-0.1717171717171717,-0.9300699300699301,0.10178710178710179
48,4,1114,561,50,503,0.5035906642728905,0.04488330341113106,0.45152603231597843,8,-1014,-108,0.00718132854578097,-0.9102333931777379,-0.09694793536804308
49,4,327,115,25,187,0.3516819571865443,0.0764525993883792,0.5718654434250765,-97,-277,47,-0.2966360856269113,-0.8470948012232415,0.1437308868501529
50,3,1088,673,14,401,0.6185661764705882,0.012867647058823529,0.36856617647058826,258,-1060,-286,0.23713235294117646,-0.9742647058823529,-0.26286764705882354
51,4,1766,1205,22,539,0.6823329558323896,0.01245753114382786,0.3052095130237826,644,-1722,-688,0.3646659116647792,-0.9750849377123443,-0.3895809739524349
52,4,797,582,4,211,0.7302383939774153,0.005018820577164366,0.26474278544542035,367,-789,-375,0.4604767879548306,-0.9899623588456713,-0.47051442910915936
53,4,488,291,22,175,0.5963114754098361,0.045081967213114756,0.35860655737704916,94,-444,-138,0.19262295081967212,-0.9098360655737705,-0.2827868852459016
54,4,845,406,44,395,0.4804733727810651,0.05207100591715976,0.46745562130177515,-33,-757,-55,-0.03905325443786982,-0.8958579881656805,-0.0650887573964497
55,4,847,388,66,393,0.45808736717827625,0.07792207792207792,0.4639905548996458,-71,-715,-61,-0.08382526564344746,-0.8441558441558441,-0.07201889020070838
56,4,1088,480,87,521,0.4411764705882353,0.07996323529411764,0.4788602941176471,-128,-914,-46,-0.11764705882352941,-0.8400735294117647,-0.042279411764705885
57,4,824,352,55,417,0.42718446601941745,0.06674757281553398,0.5060679611650486,-120,-714,10,-0.14563106796116504,-0.866504854368932,0.012135922330097087
58,4,745,340,59,346,0.4563758389261745,0.07919463087248323,0.46442953020134226,-65,-627,-53,-0.087248322147651,-0.8416107382550335,-0.07114093959731543
59,4,999,471,60,468,0.47147147147147145,0.06006006006006006,0.46846846846846846,-57,-879,-63,-0.057057057057057055,-0.8798798798798799,-0.06306306306306306
60,4,593,328,50,215,0.5531197301854974,0.08431703204047218,0.3625632377740304,63,-493,-163,0.10623946037099494,-0.8313659359190556,-0.2748735244519393
61,4,612,350,39,223,0.5718954248366013,0.06372549019607843,0.36437908496732024,88,-534,-166,0.1437908496732026,-0.8725490196078431,-0.27124183006535946
62,4,1766,1151,30,585,0.6517553793884485,0.01698754246885617,0.33125707814269534,536,-1706,-596,0.3035107587768969,-0.9660249150622876,-0.33748584371460927
63,4,1576,783,68,725,0.49682741116751267,0.04314720812182741,0.4600253807106599,-10,-1440,-126,-0.006345177664974619,-0.9137055837563451,-0.0799492385786802
64,4,924,503,48,373,0.5443722943722944,0.05194805194805195,0.4036796536796537,82,-828,-178,0.08874458874458875,-0.8961038961038961,-0.19264069264069264
65,4,1051,564,86,401,0.5366317792578497,0.0818268315889629,0.3815413891531874,77,-879,-249,0.07326355851569934,-0.8363463368220743,-0.2369172216936251
66,5,1881,922,185,774,0.49016480595427964,0.09835194045720362,0.41148325358851673,-37,-1511,-333,-0.019670388091440724,-0.8032961190855927,-0.17703349282296652
67,5,1215,635,84,496,0.522633744855967,0.0691358024691358,0.4082304526748971,55,-1047,-223,0.04526748971193416,-0.8617283950617284,-0.18353909465020576
68,5,837,383,59,395,0.45758661887694146,0.07048984468339307,0.47192353643966545,-71,-719,-47,-0.08482676224611709,-0.8590203106332138,-0.056152927120669056
69,5,926,450,63,413,0.48596112311015116,0.06803455723542116,0.44600431965442766,-26,-800,-100,-0.028077753779697623,-0.8639308855291576,-0.1079913606911447
70,5,608,290,44,274,0.4769736842105263,0.07236842105263158,0.4506578947368421,-28,-520,-60,-0.046052631578947366,-0.8552631578947368,-0.09868421052631579
71,5,890,467,87,336,0.5247191011235955,0.09775280898876404,0.37752808988764047,44,-716,-218,0.04943820224719101,-0.8044943820224719,-0.2449438202247191
72,5,1108,483,166,459,0.4359205776173285,0.14981949458483754,0.41425992779783394,-142,-776,-190,-0.12815884476534295,-0.7003610108303249,-0.17148014440433212
73,5,857,375,61,421,0.43757292882147025,0.07117852975495916,0.4912485414235706,-107,-735,-15,-0.12485414235705951,-0.8576429404900817,-0.01750291715285881
74,5,1508,640,152,716,0.4244031830238727,0.10079575596816977,0.47480106100795755,-228,-1204,-76,-0.15119363395225463,-0.7984084880636605,-0.050397877984084884
75,5,1265,463,114,688,0.3660079051383399,0.09011857707509881,0.5438735177865612,-339,-1037,111,-0.26798418972332017,-0.8197628458498024,0.08774703557312254
76,5,463,162,52,249,0.34989200863930886,0.11231101511879049,0.5377969762419006,-139,-359,35,-0.3002159827213823,-0.775377969762419,0.0755939524838013
77,5,899,371,105,423,0.41268075639599555,0.1167964404894327,0.47052280311457173,-157,-689,-53,-0.1746384872080089,-0.7664071190211346,-0.058954393770856504
